"StichtagDatJahr","QuarSort","QuarLang","KreisSort","KreisLang","HHtypSort","HHtypLang","AnzHH","AnzBestWir"
2015,11,"Rathaus",1,"Kreis 1",1,"Einpersonenhaushalt",1151,1151
2015,11,"Rathaus",1,"Kreis 1",4,"Zweipersonenhaushalt",274,548
2015,11,"Rathaus",1,"Kreis 1",5,"Ehepaar ohne Kinder",177,354
2015,11,"Rathaus",1,"Kreis 1",6,"Eingetragenes Paar ohne Kinder",10,20
2015,11,"Rathaus",1,"Kreis 1",7,"Ein-Elternhaushalt",54,124
2015,11,"Rathaus",1,"Kreis 1",8,"Ehepaar mit Kind(ern)",108,397
2015,11,"Rathaus",1,"Kreis 1",10,"Paar mit Kind(ern)",21,74
2015,11,"Rathaus",1,"Kreis 1",11,"Patchwork-Haushalt",6,19
2015,11,"Rathaus",1,"Kreis 1",12,"Wohngemeinschaft ohne Kinder",71,252
2015,11,"Rathaus",1,"Kreis 1",13,"Wohngemeinschaft mit Kind(ern)",15,70
2015,11,"Rathaus",1,"Kreis 1",14,"Generationenhaushalt",2,6
2015,12,"Hochschulen",1,"Kreis 1",1,"Einpersonenhaushalt",109,109
2015,12,"Hochschulen",1,"Kreis 1",4,"Zweipersonenhaushalt",40,80
2015,12,"Hochschulen",1,"Kreis 1",5,"Ehepaar ohne Kinder",23,46
2015,12,"Hochschulen",1,"Kreis 1",6,"Eingetragenes Paar ohne Kinder",1,2
2015,12,"Hochschulen",1,"Kreis 1",7,"Ein-Elternhaushalt",6,13
2015,12,"Hochschulen",1,"Kreis 1",8,"Ehepaar mit Kind(ern)",19,73
2015,12,"Hochschulen",1,"Kreis 1",10,"Paar mit Kind(ern)",1,3
2015,12,"Hochschulen",1,"Kreis 1",11,"Patchwork-Haushalt",2,7
2015,12,"Hochschulen",1,"Kreis 1",12,"Wohngemeinschaft ohne Kinder",11,46
2015,12,"Hochschulen",1,"Kreis 1",13,"Wohngemeinschaft mit Kind(ern)",5,23
2015,13,"Lindenhof",1,"Kreis 1",1,"Einpersonenhaushalt",355,355
2015,13,"Lindenhof",1,"Kreis 1",4,"Zweipersonenhaushalt",91,182
2015,13,"Lindenhof",1,"Kreis 1",5,"Ehepaar ohne Kinder",59,118
2015,13,"Lindenhof",1,"Kreis 1",6,"Eingetragenes Paar ohne Kinder",1,2
2015,13,"Lindenhof",1,"Kreis 1",7,"Ein-Elternhaushalt",15,33
2015,13,"Lindenhof",1,"Kreis 1",8,"Ehepaar mit Kind(ern)",30,117
2015,13,"Lindenhof",1,"Kreis 1",10,"Paar mit Kind(ern)",7,21
2015,13,"Lindenhof",1,"Kreis 1",11,"Patchwork-Haushalt",3,10
2015,13,"Lindenhof",1,"Kreis 1",12,"Wohngemeinschaft ohne Kinder",16,58
2015,13,"Lindenhof",1,"Kreis 1",13,"Wohngemeinschaft mit Kind(ern)",8,31
2015,13,"Lindenhof",1,"Kreis 1",14,"Generationenhaushalt",2,7
2015,14,"City",1,"Kreis 1",1,"Einpersonenhaushalt",131,131
2015,14,"City",1,"Kreis 1",4,"Zweipersonenhaushalt",53,106
2015,14,"City",1,"Kreis 1",5,"Ehepaar ohne Kinder",39,78
2015,14,"City",1,"Kreis 1",6,"Eingetragenes Paar ohne Kinder",3,6
2015,14,"City",1,"Kreis 1",7,"Ein-Elternhaushalt",10,26
